rank,risk_score,priority,new_status,changed,pred_priority,p_low,p_medium,p_high,blocked,n_history,work_order_id,asset_type,work_type,status,cause,street_class,district,address,date_initiated,age_days,needs_traffic_control,needs_nsp,waiting_tender,is_storm,match_conf,species_common,dbh_class,wires,is_ash,max_dbh_25m,any_wires_25m,exposure,x,y,new_description
1,74.2,High,High,False,High,0.007008433196553923,0.028464779616651854,0.9645267871867943,False,1184,426244,TRN_SECTRAV,Asphalt Crosswalk - Asphalt Repair,OPEN,Ordinary Wear,ARTERIAL,5,"370 PLEASANT ST, DARTMOUTH",2025-10-01 12:00:00,345,False,False,False,False,none,,,,,,False,0.5,-7073930.758,5566506.143,"Kept High. Of 1,184 closed 'Asphalt Crosswalk - Asphalt Repair' WOs, HRM rated 94% High / 5% Medium / 1% Low. Factors: arterial road."
2,72.7,High,High,False,High,0.008893756195981536,0.05116402167677929,0.9399422221272392,False,1184,426237,TRN_SECTRAV,Asphalt Crosswalk - Asphalt Repair,OPEN,Ordinary Wear,ARTERIAL,3,"296 PLEASANT ST, DARTMOUTH",2025-10-01 12:00:00,345,False,False,False,False,low,,,,,1.0,True,0.5,-7074211.438,5567200.436,"Kept High. Of 1,184 closed 'Asphalt Crosswalk - Asphalt Repair' WOs, HRM rated 94% High / 5% Medium / 1% Low. Factors: arterial road."
3,72.6,High,High,False,High,0.003386980158070131,0.018356224262061276,0.9782567955798686,False,1184,439704,TRN_SECTRAV,Asphalt Crosswalk - Asphalt Repair,OPEN,Ordinary Wear,ARTERIAL,5,"92 ALBRO LAKE RD, DARTMOUTH",2026-02-09 12:00:00,214,False,False,False,False,none,,,,,7.0,False,0.5,-7078146.658,5571180.504,"Kept High. Of 1,184 closed 'Asphalt Crosswalk - Asphalt Repair' WOs, HRM rated 94% High / 5% Medium / 1% Low. Factors: arterial road."
4,72.5,High,High,False,High,0.0043395671627184445,0.022795530725565623,0.972864902111716,False,1184,438219,TRN_SECTRAV,Asphalt Crosswalk - Asphalt Repair,OPEN,Ordinary Wear,ARTERIAL,6,"200 MAIN ST, DARTMOUTH",2026-01-26 12:00:00,228,False,False,False,False,none,,,,,,False,0.5,-7072403.574,5571875.058,"Kept High. Of 1,184 closed 'Asphalt Crosswalk - Asphalt Repair' WOs, HRM rated 94% High / 5% Medium / 1% Low. Factors: arterial road."
5,72.4,High,High,False,High,0.005355130425041529,0.015106220660910769,0.9795386489140476,False,1184,441494,TRN_SECTRAV,Asphalt Crosswalk - Asphalt Repair,OPEN,Ordinary Wear,ARTERIAL,5,"130 ALDERNEY DR, DARTMOUTH",2026-02-27 12:00:00,196,False,False,False,False,none,,,,,6.0,False,0.5,-7076034.134,5568888.832,"Kept High. Of 1,184 closed 'Asphalt Crosswalk - Asphalt Repair' WOs, HRM rated 94% High / 5% Medium / 1% Low. Factors: arterial road."
6,72.3,High,High,False,High,0.009698559245712222,0.05135465947504455,0.9389467812792432,False,1184,428033,TRN_SECTRAV,Asphalt Crosswalk - Asphalt Repair,OPEN,Ordinary Wear,ARTERIAL,3,"380 PLEASANT ST, DARTMOUTH",2025-10-20 12:00:00,326,False,False,False,False,low,,,,,2.0,False,0.5,-7073810.201,5566310.462,"Kept High. Of 1,184 closed 'Asphalt Crosswalk - Asphalt Repair' WOs, HRM rated 94% High / 5% Medium / 1% Low. Factors: arterial road."
7,72.2,High,High,False,High,0.00724836888696507,0.027869951875708624,0.9648816792373263,False,1184,437379,TRN_SECTRAV,Asphalt Crosswalk - Asphalt Repair,OPEN,Ordinary Wear,ARTERIAL,6,"107 MAIN ST, DARTMOUTH",2026-01-19 12:00:00,235,False,False,False,False,low,,,,,2.0,True,0.5,-7073328.925,5571558.121,"Kept High. Of 1,184 closed 'Asphalt Crosswalk - Asphalt Repair' WOs, HRM rated 94% High / 5% Medium / 1% Low. Factors: arterial road."
8,72.2,High,High,False,High,0.006515533798353175,0.016428543712666704,0.9770559224889802,False,1184,441487,TRN_SECTRAV,Asphalt Crosswalk - Asphalt Repair,OPEN,Ordinary Wear,ARTERIAL,5,"130 ALDERNEY DR, DARTMOUTH",2026-02-27 12:00:00,196,False,False,False,False,low,,,,,6.0,False,0.5,-7076042.451,5568864.953,"Kept High. Of 1,184 closed 'Asphalt Crosswalk - Asphalt Repair' WOs, HRM rated 94% High / 5% Medium / 1% Low. Factors: arterial road."
9,72.2,High,High,False,High,0.003345296204596923,0.014979901995631612,0.9816748017997715,False,1184,443462,TRN_SECTRAV,Asphalt Crosswalk - Asphalt Repair,OPEN,Ordinary Wear,ARTERIAL,5,"40 ALDERNEY DR, DARTMOUTH",2026-03-16 12:00:00,179,False,False,False,False,none,,,,,,False,0.5,-7076587.009,5568981.006,"Kept High. Of 1,184 closed 'Asphalt Crosswalk - Asphalt Repair' WOs, HRM rated 94% High / 5% Medium / 1% Low. Factors: arterial road."
10,72.1,Medium,High,True,High,0.1699605605031709,0.12849862206330992,0.701540817433519,False,266,340626,TRN_SECTRAV,Brick Sidewalk - Brick Repair,OPEN,Ordinary Wear,ARTERIAL,7,"1632 LOWER WATER ST, HALIFAX",2023-07-21 12:00:00,1148,False,False,False,False,med,Norway Maple,3.0,False,False,5.0,False,0.5,-7076685.039,5565975.753,"Medium -> High: model predicts High (70%). Of 266 closed 'Brick Sidewalk - Brick Repair' WOs, HRM rated 62% High / 22% Medium / 17% Low. Factors: arterial road, open 3.1 yrs, Norway Maple at site."
