WORK_ORDER_CAUSE,RESOLUTION,OBJECT_ID,WORK_ORDER_ID,DATE_INITIATED,ACTUAL_START_DATE,ACTUAL_FINISH_DATE,ASSET_TYPE,ASSET_GROUP,DESCRIPTION,PRIORITY,STATUS,STREET_CLASSIFICATION,QUANTITY,UNIT,ADDRESS,DISTRICT,X_COORDINATE,Y_COORDINATE,PROJECT_NAME,OLD_STATUS,NEW_STATUS,NEW_DESCRIPTION
Ordinary Wear,,29124,155372,12/14/2018 12:00:00 PM,,,TRN_STREET,Right of Way,Road Shoulder - Grading,Medium,OPEN,MAJOR COLLECTOR,0,LINEAR METER,"880 WAVERLEY RD, WAVERLEY",1,-7074505.641,5579730.519,,Medium,Medium,"Unchanged: model agrees with Medium (39%). Of 399 closed 'Road Shoulder - Grading' WOs, HRM rated 10% High / 32% Medium / 58% Low. Factors: major collector road, open 7.7 yrs."
,,49466,230785,12/15/2020 12:00:00 PM,,,TRN_STREET,Right of Way,Other Street Maintenance,Medium,OPEN,MAJOR COLLECTOR,8,UNITS,"UPPER GOVERNOR ST,  NORTH PRESTON",2,-7064680.971,5581102.249,,Medium,Medium,"Kept Medium: not enough closed history for this work type (786 WOs, need 100) or model not confident (<50%). Of 786 closed 'Other Street Maintenance' WOs, HRM rated 24% High / 55% Medium / 21% Low. Factors: major collector road, open 5.7 yrs."
,,50801,237034,2/17/2021 12:00:00 PM,,,TRN_STREET,Right of Way,Snow Damage Repairs - Asphalt,Low,OPEN,LOCAL STREET,12,LINEAR METER,"104 REDOUBT WAY, EASTERN PASSAGE",3,-7066766.805,5560229.381,,Low,Low,"Unchanged: model agrees with Low (74%). Of 104 closed 'Snow Damage Repairs - Asphalt' WOs, HRM rated 2% High / 15% Medium / 83% Low. Factors: open 5.6 yrs, Paperbark Maple at site."
,,50802,237036,2/17/2021 12:00:00 PM,,,TRN_STREET,Right of Way,Snow Damage Repairs - Asphalt,Medium,OPEN,LOCAL STREET,15,LINEAR METER,"29 FORT YORK PSSG, EASTERN PASSAGE",3,-7066822.799,5560122.379,,Medium,Medium,"Unchanged: model agrees with Medium (23%). Of 104 closed 'Snow Damage Repairs - Asphalt' WOs, HRM rated 2% High / 15% Medium / 83% Low. Factors: open 5.6 yrs."
,,50804,237041,2/17/2021 12:00:00 PM,,,TRN_STREET,Right of Way,Snow Damage Repairs - Asphalt,Low,OPEN,LOCAL STREET,9,LINEAR METER,"80 WENTWORTH CIR, EASTERN PASSAGE",3,-7067040.814,5560053.164,,Low,Low,"Unchanged: model agrees with Low (77%). Of 104 closed 'Snow Damage Repairs - Asphalt' WOs, HRM rated 2% High / 15% Medium / 83% Low. Factors: open 5.6 yrs, Blue Spruce at site."
,,53981,247312,5/20/2021 12:00:00 PM,,,TRN_STREET,Right of Way,Snow Damage Repairs - Concrete,Low,OPEN,LOCAL STREET,1,SQ METERS,"10 WOODSMERE CL,  HALIFAX",12,-7087820.667,5568944.539,2020/2021 Snow Damage,Low,Low,"Kept Low: not enough closed history for this work type (10 WOs, need 100) or model not confident (<50%). Of 10 closed 'Snow Damage Repairs - Concrete' WOs, HRM rated 10% High / 10% Medium / 80% Low. Factors: open 5.3 yrs."
,,60990,269435,12/14/2021 12:00:00 PM,,,TRN_STREET,Right of Way,Snow Damage Repairs - Asphalt,Low,OPEN,LOCAL STREET,1,LINEAR METER,"3 HORNES RD, EASTERN PASSAGE",3,-7066593.87,5561743.664,,Low,Low,"Unchanged: model agrees with Low (74%). Of 104 closed 'Snow Damage Repairs - Asphalt' WOs, HRM rated 2% High / 15% Medium / 83% Low. Factors: open 4.7 yrs."
,,61244,269908,12/17/2021 12:00:00 PM,,,TRN_STREET,Right of Way,Snow Damage Repairs - Asphalt,Low,OPEN,LOCAL STREET,11,LINEAR METER,"24 OCEANLEA DR, EASTERN PASSAGE",3,-7066254.512,5560448.55,,Low,Low,"Unchanged: model agrees with Low (74%). Of 104 closed 'Snow Damage Repairs - Asphalt' WOs, HRM rated 2% High / 15% Medium / 83% Low. Factors: open 4.7 yrs."
,,61380,270398,12/24/2021 12:00:00 PM,,,TRN_STREET,Right of Way,Snow Damage Repairs - Asphalt,Low,OPEN,LOCAL STREET,2,LINEAR METER,"2 AINSLIE CRES, EASTERN PASSAGE",3,-7066364.959,5559569.412,,Low,Low,"Unchanged: model agrees with Low (77%). Of 104 closed 'Snow Damage Repairs - Asphalt' WOs, HRM rated 2% High / 15% Medium / 83% Low. Factors: open 4.7 yrs."
,,61519,270949,1/7/2022 12:00:00 PM,,,TRN_STREET,Right of Way,Snow Damage Repairs - Asphalt,Low,OPEN,LOCAL STREET,2,LINEAR METER,"50 WENTWORTH CIR, EASTERN PASSAGE",3,-7067116.478,5559960.964,,Low,Low,"Unchanged: model agrees with Low (78%). Of 104 closed 'Snow Damage Repairs - Asphalt' WOs, HRM rated 2% High / 15% Medium / 83% Low. Factors: open 4.7 yrs."
