object_id,tree_id,owner,year_planted,loc_gen,wires,species_sci,species_common,dbh_class,install_date,location,maintained_by,modified_date,source,x,y,is_ash,is_elm,is_norway_maple
1,TRE616082,HRM,,ROW,False,Picea (genus),Spruce,2,,88 JUBILEE LANE,HRM,2025-10-30 13:25:16,Contractor - 2025,-7091718.487,5586661.9784,False,False,False
2,TRE616152,HRM,,ROW,True,Gymnocladus dioicus,Kentucky Coffeetree,1,,92 CROSSFIELD RG,HRM,2025-10-30 13:25:16,Contractor - 2025,-7092719.6845,5587855.9663,False,False,False
3,TRE218469,HRM,,ROW,False,Quercis muehlenbergii,Chinquapin oak,1,,792 BEAVER BANK RD,HRM,2025-10-30 13:25:16,Contractor - 2025,-7089174.6995,5593199.6114,False,False,False
4,TRE615918,HRM,,ROW,False,Aesculus glabra,Ohio Buckeye,2,,779 FALL RIVER RD,HRM,2025-10-30 13:25:16,Contractor - 2025,-7084594.0405,5591031.4298,False,False,False
5,TRE218379,HRM,,ROW,False,Syringa reticulata,Japanese Tree Lilac,1,,277 BEAVER BANK RD,HRM,2025-10-30 13:25:16,Contractor - 2025,-7089891.1574,5589620.3396,False,False,False
6,TRE615945,HRM,,ROW,True,Aesculus glabra,Ohio Buckeye,3,,140 RIDGE AVE,HRM,2025-10-30 13:25:16,Contractor - 2025,-7079468.8787,5586640.2744,False,False,False
7,TRE221810,HRM,2017,ROW,True,Quercus rubra,Northern Red Oak,1,,42 ROSSING DR,HRM,2025-10-30 13:25:16,Contractor - 2025,-7091269.7234,5589084.3786,False,False,False
8,TRE616150,HRM,,ROW,False,Gymnocladus dioicus,Kentucky Coffeetree,1,,103 CROSSFIELD RG,HRM,2025-10-30 13:25:16,Contractor - 2025,-7092718.6195,5587804.4544,False,False,False
9,TRE218423,HRM,,ROW,True,Celtis occidentalis,Northern Hackberry,1,,619 BEAVER BANK RD,HRM,2025-10-30 13:25:16,Contractor - 2025,-7089501.251,5592235.5326,False,False,False
10,TRE615851,HRM,,ROW,True,Fraxinus americana,White Ash,3,,1532 COBEQUID RD,HRM,2025-10-30 13:25:16,Contractor - 2025,-7079870.4663,5587391.3158,True,False,False
11,TRE615991,HRM,,ROW,False,Picea (genus),Spruce,3,,114 CONNOLLY RD,HRM,2025-10-30 13:25:16,Contractor - 2025,-7091241.0309,5586134.0411,False,False,False
12,TRE222085,HRM,2017,ROW,True,Ginkgo biloba,Ginkgo,1,,1170 OLD SACKVILLE RD,HRM,2025-10-30 13:25:16,Contractor - 2025,-7092564.2609,5587055.418,False,False,False
13,TRE615947,HRM,,ROW,True,Populus tremuloides,Quaking Aspen,4,,184 RIDGE AVE,HRM,2025-10-30 13:25:16,Contractor - 2025,-7079702.6283,5586453.652,False,False,False
14,TRE224913,HRM,2018,ROW,True,Nyssa sylvatica,Black Tupelo,1,,15 LUCASVILLE RD,HRM,2025-10-30 13:25:16,Contractor - 2025,-7092345.8646,5587251.382,False,False,False
15,TRE615827,HRM,,ROW,True,Acer rubrum,Red Maple,2,,56 OLD OAKES DR,HRM,2025-10-30 13:25:16,Contractor - 2025,-7080259.2214,5587840.0449,False,False,False
16,TRE268202,,2024,ROW,False,Acer freemanii,Freeman Maple,1,,11 LUCASVILLE RD,,2025-10-30 13:25:16,Contractor - 2025,-7092317.8749,5587251.3122,False,False,False
17,TRE218387,HRM,,ROW,True,Celtis occidentalis,Northern Hackberry,1,,405 BEAVER BANK RD,HRM,2025-10-30 13:25:16,Contractor - 2025,-7089722.8079,5590903.1077,False,False,False
18,TRE244580,HRM,2023,ROW,True,Acer spicatum,Mountain Maple,1,,64 CLAUDIA CRES,HRM,2025-10-30 13:25:16,Contractor - 2025,-7091806.4644,5586549.5555,False,False,False
19,TRE616098,HRM,,ROW,False,Acer rubrum,Red Maple,3,,26 WINDWOOD DR,HRM,2025-10-30 13:25:16,Contractor - 2025,-7092287.1698,5587079.3254,False,False,False
21,TRE222803,HRM,2017,ROW,False,Ulmus americana,American Elm,2,,51 MILLWOOD DR,HRM,2025-10-30 13:25:16,Contractor - 2025,-7092096.3895,5587936.7012,False,True,False
22,TRE221825,HRM,2017,ROW,True,Acer saccharum,Sugar Maple,1,,91 ROSSING DR,HRM,2025-10-30 13:25:16,Contractor - 2025,-7091047.8863,5589242.5879,False,False,False
23,TRE219584,HRM,2021,ROW,False,Ulmus americana,American Elm,1,,1148 FALL RIVER RD,HRM,2025-10-30 13:25:16,Contractor - 2025,-7082486.1826,5591197.7351,False,True,False
24,TRE615915,HRM,,ROW,True,Malus (genus),Apple,4,,823 FALL RIVER RD,HRM,2025-10-30 13:25:16,Contractor - 2025,-7084484.956,5591284.4228,False,False,False
25,TRE218118,HRM,,ROW,True,Pyrus calleryana,Callery Pear,1,,53 RAFTING DR,HRM,2025-10-30 13:25:16,Contractor - 2025,-7092307.2813,5588985.3956,False,False,False
26,TRE219595,HRM,2021,ROW,False,Acer rubrum,Red Maple,1,,1330 FALL RIVER RD,HRM,2025-10-30 13:25:16,Contractor - 2025,-7081789.5112,5592031.5187,False,False,False
27,TRE615727,HRM,,ROW,True,Syringa reticulata,Japanese Tree Lilac,1,,3162 HIGHWAY 2,HRM,2025-10-30 13:25:16,Contractor - 2025,-7080920.2846,5592138.2826,False,False,False
28,TRE243979,HRM,2023,ROW,False,Tilia americana,American Basswood,1,,1052 BEAVER BANK RD,HRM,2025-10-30 13:25:16,Contractor - 2025,-7088904.1255,5594761.8458,False,False,False
