cause,resolution,object_id,work_order_id,date_initiated,date_started,date_finished,asset_type,asset_group,description,priority,status,street_class,quantity,unit,address,district,x,y,project_name,flag_bad_date,work_type,is_active,age_days,days_to_finish,is_storm,needs_traffic_control,needs_nsp,waiting_tender,has_coords,tree_dist_m,match_conf,tree_id,species_common,dbh_class,wires,loc_gen,year_planted,is_ash,n_trees_25m,max_dbh_25m,any_wires_25m,any_ash_25m
Ordinary Wear,,29124,155372,2018-12-14 12:00:00,,,TRN_STREET,Right of Way,Road Shoulder - Grading,Medium,OPEN,MAJOR COLLECTOR,0.0,LINEAR METER,"880 WAVERLEY RD, WAVERLEY",1,-7074505.641,5579730.519,,False,Road Shoulder - Grading,True,2828,,False,False,False,False,True,807.7771002089529,none,,,,,,,,0,,False,False
,,49466,230785,2020-12-15 12:00:00,,,TRN_STREET,Right of Way,Other Street Maintenance,Medium,OPEN,MAJOR COLLECTOR,8.0,UNITS,"UPPER GOVERNOR ST,  NORTH PRESTON",2,-7064680.971,5581102.249,,False,Other Street Maintenance,True,2096,,False,False,False,False,True,2976.4937095646,none,,,,,,,,0,,False,False
,,50801,237034,2021-02-17 12:00:00,,,TRN_STREET,Right of Way,Snow Damage Repairs - Asphalt,Low,OPEN,LOCAL STREET,12.0,LINEAR METER,"104 REDOUBT WAY, EASTERN PASSAGE",3,-7066766.805,5560229.381,,False,Snow Damage Repairs - Asphalt,True,2032,,False,False,False,False,True,9.71925486058841,med,TRE221349,Paperbark Maple,1,False,ROW,2014,False,1,1.0,False,False
,,50802,237036,2021-02-17 12:00:00,,,TRN_STREET,Right of Way,Snow Damage Repairs - Asphalt,Medium,OPEN,LOCAL STREET,15.0,LINEAR METER,"29 FORT YORK PSSG, EASTERN PASSAGE",3,-7066822.799,5560122.379,,False,Snow Damage Repairs - Asphalt,True,2032,,False,False,False,False,True,38.33227551013663,none,,,,,,,,0,,False,False
,,50804,237041,2021-02-17 12:00:00,,,TRN_STREET,Right of Way,Snow Damage Repairs - Asphalt,Low,OPEN,LOCAL STREET,9.0,LINEAR METER,"80 WENTWORTH CIR, EASTERN PASSAGE",3,-7067040.814,5560053.164,,False,Snow Damage Repairs - Asphalt,True,2032,,False,False,False,False,True,8.25964248221161,med,TRE256506,Blue Spruce,3,False,ROW,,False,3,4.0,False,False
,,53981,247312,2021-05-20 12:00:00,,,TRN_STREET,Right of Way,Snow Damage Repairs - Concrete,Low,OPEN,LOCAL STREET,1.0,SQ METERS,"10 WOODSMERE CL,  HALIFAX",12,-7087820.667,5568944.539,2020/2021 Snow Damage,False,Snow Damage Repairs - Concrete,True,1940,,False,False,False,False,True,18.88369788199699,low,,,,,,,,3,1.0,True,False
,,60990,269435,2021-12-14 12:00:00,,,TRN_STREET,Right of Way,Snow Damage Repairs - Asphalt,Low,OPEN,LOCAL STREET,1.0,LINEAR METER,"3 HORNES RD, EASTERN PASSAGE",3,-7066593.87,5561743.664,,False,Snow Damage Repairs - Asphalt,True,1732,,False,False,False,False,True,11.912470326626002,low,,,,,,,,5,2.0,True,False
,,61244,269908,2021-12-17 12:00:00,,,TRN_STREET,Right of Way,Snow Damage Repairs - Asphalt,Low,OPEN,LOCAL STREET,11.0,LINEAR METER,"24 OCEANLEA DR, EASTERN PASSAGE",3,-7066254.512,5560448.55,,False,Snow Damage Repairs - Asphalt,True,1729,,False,False,False,False,True,15.641727177584702,low,,,,,,,,3,2.0,True,True
,,61380,270398,2021-12-24 12:00:00,,,TRN_STREET,Right of Way,Snow Damage Repairs - Asphalt,Low,OPEN,LOCAL STREET,2.0,LINEAR METER,"2 AINSLIE CRES, EASTERN PASSAGE",3,-7066364.959,5559569.412,,False,Snow Damage Repairs - Asphalt,True,1722,,False,False,False,False,True,51.75540373386195,none,,,,,,,,0,,False,False
,,61519,270949,2022-01-07 12:00:00,,,TRN_STREET,Right of Way,Snow Damage Repairs - Asphalt,Low,OPEN,LOCAL STREET,2.0,LINEAR METER,"50 WENTWORTH CIR, EASTERN PASSAGE",3,-7067116.478,5559960.964,,False,Snow Damage Repairs - Asphalt,True,1708,,False,False,False,False,True,70.27539219719216,none,,,,,,,,0,,False,False
,,74359,305003,2022-10-31 12:00:00,,,TRN_STREET,Right of Way,Other Street Maintenance,Medium,OPEN,LOCAL STREET,0.0,UNITS,"49 JOHNSON RD,  NORTH PRESTON",2,-7065068.405,5580795.054,,False,Other Street Maintenance,True,1411,,False,False,False,False,True,2739.6356007860763,none,,,,,,,,0,,False,False
,,78179,316298,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,MAJOR COLLECTOR,11.0,SLABS,CAVALIER DR (CAVENDISH TO FIRST LAKE),15,-7086642.8714511,5586027.53359897,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,47.13676748665995,none,,,,,,,,0,,False,False
,,78180,316299,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,ARTERIAL,10.0,SLABS,SACKVILLE DR (12 MILE HOUSE TO COBEQUID),15,-7087141.43099923,5582643.0847613,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,6.613199025441825,med,TRE260332,American Elm,3,True,ROW,,False,7,4.0,True,False
,,78182,316302,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,LOCAL STREET,9.0,SLABS,KENCREST AVE (NEWBERRY (S) TO MONT BLANC TR),8,-7081136.64254892,5570179.82622584,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,3.5467523236953844,high,TRE140890,Norway Maple,6,True,ROW,,False,4,6.0,True,False
,,78183,316303,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,ARTERIAL,27.0,SLABS,"COLE HARBOUR RD, R (DARTMOUTH CITY LIM TO CUMBERLAND)",4,-7067941.60649711,5569946.25500996,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,102.11964670132043,none,,,,,,,,0,,False,False
,,78184,316304,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,MAJOR COLLECTOR,37.0,SLABS,WINDMILL RD (CIVIC 520 TO CIVIC 552),6,-7079889.61184163,5572899.68389469,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,229.66664521987155,none,,,,,,,,0,,False,False
,,78185,316305,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,LOCAL STREET,86.0,SLABS,GREEN VILLAGE LANE (PORTLAND TO END),5,-7073310.10123115,5569691.59700862,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,3.1579741083408472,high,TRE208718,Northern Hackberry,1,False,ROW,,False,2,2.0,False,False
,,78186,316306,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,LOCAL STREET,2.0,SLABS,EDWARD ARAB AVE (GEORGE DAUPHINEE TO WILLIAM HUNT),9,-7081680.08828183,5566524.36265435,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,1.5403681218087812,high,TRE146193,Northern Red Oak,4,True,ROW,,False,6,5.0,True,False
,,78187,316307,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,LOCAL STREET,3.0,SLABS,WINDSOR ST (ASHTON TO MAXWELL),8,-7081341.29405542,5568103.08573818,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,9.911070559559672,med,TRE245557,London Planetree,1,True,ROW,2023,False,2,3.0,True,False
,,78188,316308,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,MAJOR COLLECTOR,3.0,SLABS,MUMFORD RD,9,-7082967.416,5566451.627,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,12.386416465317437,low,,,,,,,,5,6.0,True,False
,,78189,316309,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,LOCAL STREET,3.0,SLABS,DUBLIN ST (YOUNG TO CORK),8,-7080671.042046,5567452.83364411,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,8.002375867194415,med,TRE135118,American Elm,6,True,ROW,,False,5,9.0,True,False
,,78190,316310,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,LOCAL STREET,4.0,SLABS,WILLOW ST (CLIFTON TO GLADSTONE),8,-7079486.28584696,5567044.23492725,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,4.767422687891375,high,TRE136543,London Planetree,4,False,ROW,,False,7,6.0,True,False
,,78191,316311,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,MINOR COLLECTOR,2.0,SLABS,BEDFORD HWY (HATCHERY TO START BRIDGE),16,-7086909.33164496,5578985.40766422,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,19.526239603176098,low,,,,,,,,1,3.0,False,False
,,78192,316312,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,ARTERIAL,2.0,SLABS,UNION ST (CHANGE IN SW TO BEDFORD HWY),16,-7086901.60433482,5579155.98162903,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,6.901995076447861,med,TRE227161,Norway Maple,3,True,ROW,,False,4,3.0,True,False
,,78193,316313,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,ARTERIAL,11.0,SLABS,"CHEBUCTO RD, HALIFAX",8,-7080123.26,5566425.953,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,1.1276948662308235,high,TRE137367,American Elm,5,True,ROW,,False,8,6.0,True,False
,,78195,316315,2023-02-07 12:00:00,,,TRN_SECTRAV,Right of Way,Unclassified Work Order from WOOD Sidewalk Audit,Low,OPEN,LOCAL STREET,33.0,SLABS,ROBIE ST (ST. ALBANS TO NORTH),8,-7079659.11022218,5567549.45993003,2021 AMEC WOOD SIDEWALK AUDIT,False,Unclassified Work Order from WOOD Sidewalk Audit,True,1312,,False,False,False,False,True,41.108972926829736,none,,,,,,,,0,,False,False
